ANNO,MES,TRIMESTRE,ID_EMPRESA,EMPRESA,OPERADOR,OMV,PNM_RECEPTOR_NETO
2011,8,3,830016046,AVANTEL S A S,WOM,WOM,-5
2011,8,3,830114921,COLOMBIA MÓVIL S.A ESP,TIGO,TIGO,9468
2011,8,3,800153993,COMUNICACION CELULAR S A COMCEL S A,COMCEL,COMCEL,-10028
2011,8,3,901066516,DIMECOM COMUNICACIONES S.A.S.,TIGO,DIME,0
2011,8,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP,TIGO,ETB,0
2011,8,3,901162121,LOGISTICA FLASH COLOMBIA S.A.S.,TIGO,FLASH,0
2011,8,3,900389508,ALMACENES EXITO INVERSIONES S.A.S.,TIGO,EXITO,0
2011,8,3,900688637,KIERO IP TELECOMUNICACIONES SAS,TIGO,KIERO,0
2011,8,3,900848456,EZTALK MOBILE S.A.S.,TIGO,EZTALK,0
2011,8,3,900973532,SUMA MOVIL S.A.S,TIGO,SUMA,0
2011,8,3,830122566,COLOMBIA TELECOMUNICACIONES S A E S P,MOVISTAR,MOVISTAR,-1788
2011,8,3,900367669,UFF MOVIL SAS,TIGO,UFF,2353
2011,8,3,900092385,UNE EPM TELECOMUNICACIONES S.A.,TIGO,UNE,0
2011,8,3,900530819,VILACOM MOBILE SAS,TIGO,VILACOM,0
2011,8,3,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,MOVISTAR,VIRGIN,0
2011,9,3,830016046,AVANTEL S A S,WOM,WOM,-15
2011,9,3,830114921,COLOMBIA MÓVIL S.A ESP,TIGO,TIGO,14167
2011,9,3,800153993,COMUNICACION CELULAR S A COMCEL S A,COMCEL,COMCEL,-14733
2011,9,3,901066516,DIMECOM COMUNICACIONES S.A.S.,TIGO,DIME,0
2011,9,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP,TIGO,ETB,0
2011,9,3,901162121,LOGISTICA FLASH COLOMBIA S.A.S.,TIGO,FLASH,0
2011,9,3,900389508,ALMACENES EXITO INVERSIONES S.A.S.,TIGO,EXITO,0
2011,9,3,900688637,KIERO IP TELECOMUNICACIONES SAS,TIGO,KIERO,0
2011,9,3,900848456,EZTALK MOBILE S.A.S.,TIGO,EZTALK,0
2011,9,3,900973532,SUMA MOVIL S.A.S,TIGO,SUMA,0
2011,9,3,830122566,COLOMBIA TELECOMUNICACIONES S A E S P,MOVISTAR,MOVISTAR,-3206
2011,9,3,900367669,UFF MOVIL SAS,TIGO,UFF,3707
2011,9,3,900092385,UNE EPM TELECOMUNICACIONES S.A.,TIGO,UNE,80
2011,9,3,900530819,VILACOM MOBILE SAS,TIGO,VILACOM,0
2011,9,3,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,MOVISTAR,VIRGIN,0
2011,10,4,830016046,AVANTEL S A S,WOM,WOM,-28
2011,10,4,830114921,COLOMBIA MÓVIL S.A ESP,TIGO,TIGO,19042
2011,10,4,800153993,COMUNICACION CELULAR S A COMCEL S A,COMCEL,COMCEL,-21615
2011,10,4,901066516,DIMECOM COMUNICACIONES S.A.S.,TIGO,DIME,0
2011,10,4,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP,TIGO,ETB,0
2011,10,4,901162121,LOGISTICA FLASH COLOMBIA S.A.S.,TIGO,FLASH,0
2011,10,4,900389508,ALMACENES EXITO INVERSIONES S.A.S.,TIGO,EXITO,0
2011,10,4,900688637,KIERO IP TELECOMUNICACIONES SAS,TIGO,KIERO,0
2011,10,4,900848456,EZTALK MOBILE S.A.S.,TIGO,EZTALK,0
2011,10,4,900973532,SUMA MOVIL S.A.S,TIGO,SUMA,0
2011,10,4,830122566,COLOMBIA TELECOMUNICACIONES S A E S P,MOVISTAR,MOVISTAR,-2355
2011,10,4,900367669,UFF MOVIL SAS,TIGO,UFF,4686
2011,10,4,900092385,UNE EPM TELECOMUNICACIONES S.A.,TIGO,UNE,270
2011,10,4,900530819,VILACOM MOBILE SAS,TIGO,VILACOM,0
2011,10,4,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,MOVISTAR,VIRGIN,0
2011,11,4,830016046,AVANTEL S A S,WOM,WOM,-77
2011,11,4,830114921,COLOMBIA MÓVIL S.A ESP,TIGO,TIGO,25730
2011,11,4,800153993,COMUNICACION CELULAR S A COMCEL S A,COMCEL,COMCEL,-27586
2011,11,4,901066516,DIMECOM COMUNICACIONES S.A.S.,TIGO,DIME,0
2011,11,4,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP,TIGO,ETB,0
2011,11,4,901162121,LOGISTICA FLASH COLOMBIA S.A.S.,TIGO,FLASH,0
2011,11,4,900389508,ALMACENES EXITO INVERSIONES S.A.S.,TIGO,EXITO,0
2011,11,4,900688637,KIERO IP TELECOMUNICACIONES SAS,TIGO,KIERO,0
2011,11,4,900848456,EZTALK MOBILE S.A.S.,TIGO,EZTALK,0
2011,11,4,900973532,SUMA MOVIL S.A.S,TIGO,SUMA,0
2011,11,4,830122566,COLOMBIA TELECOMUNICACIONES S A E S P,MOVISTAR,MOVISTAR,-3920
2011,11,4,900367669,UFF MOVIL SAS,TIGO,UFF,5462
2011,11,4,900092385,UNE EPM TELECOMUNICACIONES S.A.,TIGO,UNE,391
2011,11,4,900530819,VILACOM MOBILE SAS,TIGO,VILACOM,0
2011,11,4,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,MOVISTAR,VIRGIN,0
2011,12,4,830016046,AVANTEL S A S,WOM,WOM,-94
2011,12,4,830114921,COLOMBIA MÓVIL S.A ESP,TIGO,TIGO,33287
2011,12,4,800153993,COMUNICACION CELULAR S A COMCEL S A,COMCEL,COMCEL,-22072
2011,12,4,901066516,DIMECOM COMUNICACIONES S.A.S.,TIGO,DIME,0
2011,12,4,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP,TIGO,ETB,0
2011,12,4,901162121,LOGISTICA FLASH COLOMBIA S.A.S.,TIGO,FLASH,0
2011,12,4,900389508,ALMACENES EXITO INVERSIONES S.A.S.,TIGO,EXITO,0
2011,12,4,900688637,KIERO IP TELECOMUNICACIONES SAS,TIGO,KIERO,0
