ANNO;TRIMESTRE;MODALIDAD;ID_PROVEEDOR;PROVEEDOR;OPERADOR;OMV; ABONADOS 
2011;1;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;4304255
2011;1;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;2439154
2011;1;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;871001
2011;1;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;25709973
2011;1;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;7531441
2011;1;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;4486225
2011;2;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;4408676
2011;2;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;2529350
2011;2;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;902398
2011;2;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;26274488
2011;2;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;7420004
2011;2;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;4613021
2011;2;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;166772
2011;3;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;4577816
2011;3;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;2652439
2011;3;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;924505
2011;3;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;26619576
2011;3;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;8047568
2011;3;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;4717900
2011;3;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;208108
2011;4;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;4755101
2011;4;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;2764249
2011;4;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;954561
2011;4;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;24063690
2011;4;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;8626823
2011;4;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;4787055
2011;4;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;248942
2012;1;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;4900878
2012;1;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;2856553
2012;1;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;984787
2012;1;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;24119116
2012;1;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;9076423
2012;1;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;4904500
2012;1;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;256918
2012;1;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;73610
2012;2;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5040764
2012;2;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;2918559
2012;2;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1011795
2012;2;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;24334505
2012;2;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;9439977
2012;2;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;5058675
2012;2;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;271128
2012;2;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;81101
2012;3;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5194566
2012;3;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;2959789
2012;3;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1031730
2012;3;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;24767235
2012;3;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;9045172
2012;3;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;5323290
2012;3;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;306418
2012;3;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;71017
2012;4;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5351558
2012;4;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3028424
